dataset_id,view,ch,mean_contact,rank_mean_contact,dead_flag
john_2328,excluded,0,0.00041111,124,0
john_2328,excluded,1,0.00041482,123,0
john_2328,excluded,10,0.04400886,77,0
john_2328,excluded,100,0.00161729,120,0
john_2328,excluded,101,0.00680250,106,0
john_2328,excluded,102,0.01474946,99,0
john_2328,excluded,103,0.03784463,83,0
john_2328,excluded,104,0.09643381,56,0
john_2328,excluded,105,0.17937249,36,0
john_2328,excluded,106,0.26384328,21,0
john_2328,excluded,107,0.36670181,6,0
john_2328,excluded,108,0.30230767,14,0
john_2328,excluded,109,0.18344041,35,0
john_2328,excluded,11,0.04830765,75,0
john_2328,excluded,110,0.08699179,58,0
john_2328,excluded,111,0.02044948,96,0
john_2328,excluded,112,0.00550250,109,0
john_2328,excluded,113,0.00238520,118,0
john_2328,excluded,114,0.00115926,121,0
john_2328,excluded,115,0.00088889,122,0
john_2328,excluded,116,0.00403459,114,0
john_2328,excluded,117,0.00288150,116,0
john_2328,excluded,118,0.00454941,112,0
john_2328,excluded,119,0.02332728,95,0
john_2328,excluded,12,0.05681510,64,0
john_2328,excluded,120,0.06124598,62,0
john_2328,excluded,121,0.15749090,42,0
john_2328,excluded,122,0.23668265,27,0
john_2328,excluded,123,0.35003259,8,0
john_2328,excluded,13,0.05397928,67,0
john_2328,excluded,14,0.04217428,79,0
john_2328,excluded,15,0.03207423,94,0
john_2328,excluded,16,0.03796315,82,0
john_2328,excluded,17,0.04919284,73,0
john_2328,excluded,18,0.05436323,66,0
john_2328,excluded,19,0.04654838,76,0
john_2328,excluded,2,0.03356313,92,0
john_2328,excluded,20,0.09130786,57,0
john_2328,excluded,21,0.06921886,61,0
john_2328,excluded,22,0.05067062,71,0
john_2328,excluded,23,0.05140766,70,0
john_2328,excluded,24,0.04849654,74,0
john_2328,excluded,25,0.05530768,65,0
john_2328,excluded,26,0.07134480,60,0
john_2328,excluded,27,0.08298559,59,0
john_2328,excluded,28,0.12485370,49,0
john_2328,excluded,29,0.10322520,52,0
john_2328,excluded,3,0.03382486,91,0
john_2328,excluded,30,0.05193729,68,0
john_2328,excluded,31,0.01783959,98,0
john_2328,excluded,32,0.03673598,84,0
john_2328,excluded,33,0.03598907,86,0
john_2328,excluded,34,0.09661776,55,0
john_2328,excluded,35,0.13007225,46,0
john_2328,excluded,36,0.16436254,40,0
john_2328,excluded,37,0.10740176,50,0
john_2328,excluded,38,0.05015457,72,0
john_2328,excluded,39,0.00614694,107,0
john_2328,excluded,4,0.03465573,87,0
john_2328,excluded,40,0.00441607,113,0
john_2328,excluded,41,0.03383227,90,0
john_2328,excluded,42,0.10139309,53,0
john_2328,excluded,43,0.16236006,41,0
john_2328,excluded,44,0.01909145,97,0
john_2328,excluded,45,0.00321730,115,0
john_2328,excluded,46,0.00201976,119,0
john_2328,excluded,47,0.00820498,104,0
john_2328,excluded,48,0.00465805,111,0
john_2328,excluded,49,0.00242964,117,0
john_2328,excluded,5,0.04062489,81,0
john_2328,excluded,50,0.26492230,20,0
john_2328,excluded,51,0.23191473,28,0
john_2328,excluded,52,0.14718962,44,0
john_2328,excluded,53,0.12551050,48,0
john_2328,excluded,54,0.22556902,30,0
john_2328,excluded,55,0.27034578,18,0
john_2328,excluded,56,0.28715697,15,0
john_2328,excluded,57,0.22871841,29,0
john_2328,excluded,58,0.13755500,45,0
john_2328,excluded,59,0.16842305,39,0
john_2328,excluded,6,0.04125823,80,0
john_2328,excluded,60,0.24741974,25,0
john_2328,excluded,61,0.28399523,16,0
john_2328,excluded,62,0.31931145,13,0
john_2328,excluded,63,0.24528269,26,0
john_2328,excluded,64,0.15143778,43,0
john_2328,excluded,65,0.18781451,34,0
john_2328,excluded,66,0.25280742,24,0
john_2328,excluded,67,0.32188677,11,0
john_2328,excluded,68,0.42699717,4,0
john_2328,excluded,69,0.34986222,9,0
john_2328,excluded,7,0.03383967,89,0
john_2328,excluded,70,0.26335068,22,0
john_2328,excluded,71,0.17283048,38,0
john_2328,excluded,72,0.05176445,69,0
john_2328,excluded,73,0.09890172,54,0
john_2328,excluded,74,0.20027012,32,0
john_2328,excluded,75,0.26891244,19,0
john_2328,excluded,76,0.36138574,7,0
john_2328,excluded,77,0.43772562,2,0
john_2328,excluded,78,0.43117991,3,0
john_2328,excluded,79,0.32565840,10,0
john_2328,excluded,8,0.03290757,93,0
john_2328,excluded,80,0.25523336,23,0
john_2328,excluded,81,0.17887002,37,0
john_2328,excluded,82,0.05867189,63,0
john_2328,excluded,83,0.01251117,101,0
john_2328,excluded,84,0.00862967,103,0
john_2328,excluded,85,0.01452353,100,0
john_2328,excluded,86,0.03427795,88,0
john_2328,excluded,87,0.10666843,51,0
john_2328,excluded,88,0.19654912,33,0
john_2328,excluded,89,0.27720013,17,0
john_2328,excluded,9,0.03603598,85,0
john_2328,excluded,90,0.37294258,5,0
john_2328,excluded,91,0.44740715,1,0
john_2328,excluded,92,0.32011640,12,0
john_2328,excluded,93,0.22051343,31,0
john_2328,excluded,94,0.12864138,47,0
john_2328,excluded,95,0.04220638,78,0
john_2328,excluded,96,0.00818523,105,0
john_2328,excluded,97,0.01016795,102,0
john_2328,excluded,98,0.00606793,108,0
john_2328,excluded,99,0.00498768,110,0
john_2328,raw,0,0.00041092,124,0
john_2328,raw,1,0.00041462,123,0
john_2328,raw,10,0.04398828,77,0
john_2328,raw,100,0.00161654,120,0
john_2328,raw,101,0.00679932,106,0
