dataset_id,view,idx,label,label_raw,T,mean_contact,frames_allzero_ratio,frames_allone_ratio,active_ch_mean,active_ch_std
john_2328,excluded,0,CAMERA,camera,282,0.09282773,0.528369,0.000000,11.510638,16.796072
john_2328,excluded,1,PRESCRIPTION,prescription,465,0.15546306,0.359140,0.000000,19.277419,22.665934
john_2328,excluded,10,CHEESE,cheese,313,0.19620221,0.418530,0.000000,24.329073,25.446499
john_2328,excluded,100,DOG,dog,232,0.11505840,0.590517,0.000000,14.267241,22.502053
john_2328,excluded,1000,LOT,lot,185,0.07083697,0.702703,0.000000,8.783784,18.990944
john_2328,excluded,1001,ACCEPT,accept,307,0.15225386,0.397394,0.000000,18.879479,21.503014
john_2328,excluded,1002,PRESENTATION,presentation,376,0.15577814,0.452128,0.000000,19.316489,24.119899
john_2328,excluded,1003,DROVE,drove,224,0.14483727,0.500000,0.000000,17.959821,27.202337
john_2328,excluded,1004,ANY,any,183,0.07438745,0.666667,0.000000,9.224044,16.742638
john_2328,excluded,1005,WANT,want,249,0.08848296,0.602410,0.000000,10.971888,20.277869
john_2328,excluded,1006,CAPITAL,capital,265,0.15109556,0.513208,0.000000,18.735849,25.837921
john_2328,excluded,1007,SMART,smart,240,0.05336022,0.533333,0.000000,6.616667,10.809474
john_2328,excluded,1008,ALLERGIC,allergic,295,0.13165664,0.474576,0.000000,16.325424,21.103840
john_2328,excluded,1009,RACE,race,215,0.11132783,0.483721,0.000000,13.804651,16.724553
john_2328,excluded,101,MY,my,204,0.06087919,0.725490,0.000000,7.549020,17.247408
john_2328,excluded,1010,LOCATION,location,287,0.10818253,0.585366,0.000000,13.414634,22.178376
john_2328,excluded,1011,TREASURE,treasure,296,0.17063535,0.391892,0.000000,21.158784,24.903160
john_2328,excluded,1012,THAT,that,196,0.17787196,0.479592,0.000000,22.056122,29.023247
john_2328,excluded,1013,LOOSES,looses,256,0.05714466,0.734375,0.000000,7.085938,14.448739
john_2328,excluded,1014,AGAIN,again,220,0.09677419,0.595455,0.000000,12.000000,19.344015
john_2328,excluded,1015,EXERCISE,exercise,310,0.19471904,0.319355,0.000000,24.145161,24.647480
john_2328,excluded,1016,FOUND,found,230,0.06907433,0.508696,0.000000,8.565217,16.038611
john_2328,excluded,1017,NOT,not,187,0.02880800,0.673797,0.000000,3.572193,8.184299
john_2328,excluded,1018,MUSIC,music,260,0.10331886,0.388462,0.000000,12.811538,17.694172
john_2328,excluded,1019,SUBURBS,suburbs,316,0.10374132,0.512658,0.000000,12.863924,17.696559
john_2328,excluded,102,NOON,noon,237,0.11195046,0.535865,0.000000,13.881857,26.687810
john_2328,excluded,1020,WERE,were,211,0.11141263,0.545024,0.000000,13.815166,20.215169
john_2328,excluded,1021,BEFORE,before,267,0.08710886,0.614232,0.000000,10.801498,17.339578
john_2328,excluded,1022,FEELING,feeling,264,0.11601906,0.515152,0.000000,14.386364,18.636941
john_2328,excluded,1023,ADVANCE,advance,263,0.18263216,0.323194,0.000000,22.646388,21.964551
john_2328,excluded,1024,FACTS,facts,229,0.12050993,0.510917,0.000000,14.943231,22.048999
john_2328,excluded,1025,PARTY,party,229,0.08740668,0.532751,0.000000,10.838428,16.644632
john_2328,excluded,1026,RIDING,riding,265,0.11192940,0.566038,0.000000,13.879245,21.923205
john_2328,excluded,1027,OLD,old,194,0.05719987,0.757732,0.000000,7.092784,13.894731
john_2328,excluded,1028,DENIAL,denial,243,0.13430904,0.481481,0.000000,16.654321,23.190122
john_2328,excluded,1029,POLITICAL,political,290,0.11713014,0.568966,0.000000,14.524138,22.177367
john_2328,excluded,103,RACKETBALL,racketball,380,0.17977504,0.436842,0.000000,22.292105,24.335515
john_2328,excluded,1030,CAKE,cake,206,0.16281710,0.470874,0.000000,20.189320,23.516945
john_2328,excluded,1031,CELLS,cells,229,0.11191717,0.611354,0.000000,13.877729,21.873253
john_2328,excluded,1032,SNAKE,snake,249,0.12061148,0.365462,0.000000,14.955823,16.740701
john_2328,excluded,1033,DORMITORY,dormitory,317,0.09110105,0.552050,0.000000,11.296530,20.973931
john_2328,excluded,1034,ASKED,asked,241,0.06424843,0.593361,0.000000,7.966805,12.817541
john_2328,excluded,1035,BITES,bites,242,0.12526660,0.619835,0.000000,15.533058,23.120618
john_2328,excluded,1036,GUIDELINES,guidelines,346,0.12420753,0.528902,0.000000,15.401734,20.034447
john_2328,excluded,1037,POISONOUS,poisonous,322,0.05762873,0.723602,0.000000,7.145963,15.614747
john_2328,excluded,1038,WITHOUT,without,292,0.12825895,0.489726,0.000000,15.904110,22.774303
john_2328,excluded,1039,RUN,run,191,0.04982267,0.722513,0.000000,6.178010,15.566434
john_2328,excluded,104,ECONOMY,economy,327,0.10582519,0.516820,0.000000,13.122324,21.269719
john_2328,excluded,1040,JAMMED,jammed,242,0.12593308,0.475207,0.000000,15.615702,22.463125
john_2328,excluded,1041,CENTURY,century,294,0.11345183,0.564626,0.000000,14.068027,21.901499
john_2328,excluded,1042,DASHING,dashing,258,0.10927732,0.422481,0.000000,13.550388,18.601059
john_2328,excluded,1043,CONCENTRATE,concentrate,374,0.15876747,0.411765,0.000000,19.687166,21.582351
john_2328,excluded,1044,PIMP,pimp,224,0.07841302,0.616071,0.000000,9.723214,17.529928
john_2328,excluded,1045,ASPIRATIONS,aspirations,426,0.09741784,0.572770,0.000000,12.079812,20.066982
john_2328,excluded,1046,LARGEST,largest,288,0.13695677,0.503472,0.000000,16.982639,21.928776
john_2328,excluded,1047,WATER,water,235,0.15662320,0.463830,0.000000,19.421277,25.003259
john_2328,excluded,1048,STIMULUS,stimulus,284,0.12122331,0.531690,0.000000,15.031690,23.137427
john_2328,excluded,1049,CLAUS,claus,227,0.08103595,0.674009,0.000000,10.048458,19.620683
john_2328,excluded,105,LYDIA,lydia,275,0.05832845,0.629091,0.000000,7.232727,15.110154
john_2328,excluded,1050,FOURTH,fourth,245,0.08268598,0.620408,0.000000,10.253061,18.082838
john_2328,excluded,1051,PROFIT,profit,249,0.10762404,0.650602,0.000000,13.345382,25.533999
john_2328,excluded,1052,NOBODY,nobody,261,0.14046471,0.551724,0.000000,17.417625,27.718030
john_2328,excluded,1053,PUNISHMENT,punishment,334,0.15320166,0.338323,0.000000,18.997006,23.327979
john_2328,excluded,1054,POPULARITY,popularity,337,0.15119173,0.430267,0.000000,18.747774,23.949722
john_2328,excluded,1055,HEAD,head,204,0.14199873,0.426471,0.000000,17.607843,26.694406
john_2328,excluded,1056,NOTHING,nothing,254,0.14062103,0.417323,0.000000,17.437008,24.051494
john_2328,excluded,1057,HANDLE,handle,232,0.09955506,0.474138,0.000000,12.344828,17.201696
john_2328,excluded,1058,MICROSCOPES,microscopes,366,0.11927111,0.530055,0.000000,14.789617,20.977011
john_2328,excluded,1059,TONIGHT,tonight,265,0.11920268,0.543396,0.000000,14.781132,21.814770
john_2328,excluded,106,NATION,nation,301,0.08975458,0.461794,0.000000,11.129568,16.474681
john_2328,excluded,1060,BLAZING,blazing,251,0.09924817,0.533865,0.000000,12.306773,20.970039
john_2328,excluded,1061,RELIGION,religion,292,0.09020106,0.616438,0.000000,11.184932,19.031878
john_2328,excluded,1062,NATION,nation,246,0.10106871,0.646341,0.000000,12.532520,22.851166
john_2328,excluded,1063,CARD,card,190,0.11345501,0.526316,0.000000,14.068421,21.596309
john_2328,excluded,1064,DAILY,daily,206,0.10624804,0.621359,0.000000,13.174757,24.076910
john_2328,excluded,1065,HAVING,having,219,0.10715864,0.497717,0.000000,13.287671,18.913511
john_2328,excluded,1066,CONTRAST,contrast,277,0.13005124,0.487365,0.000000,16.126354,23.014716
john_2328,excluded,1067,LIMITED,limited,282,0.12348433,0.521277,0.000000,15.312057,24.039310
john_2328,excluded,1068,AS,as,156,0.06777295,0.717949,0.000000,8.403846,20.342824
john_2328,excluded,1069,LOT,lot,167,0.06234306,0.461078,0.000000,7.730539,16.644374
john_2328,excluded,107,WEEK,week,286,0.17665802,0.374126,0.000000,21.905594,23.221527
john_2328,excluded,1070,SPEECH,speech,267,0.21366437,0.374532,0.000000,26.494382,27.483515
john_2328,excluded,1071,DRY,dry,181,0.08857601,0.701657,0.000000,10.983425,22.968505
john_2328,excluded,1072,BIRD,bird,213,0.06341814,0.751174,0.000000,7.863850,17.899963
john_2328,excluded,1073,HOW,how,172,0.06493811,0.633721,0.000000,8.052326,16.243519
john_2328,excluded,1074,MOVIE,movie,211,0.10143709,0.630332,0.000000,12.578199,24.171726
john_2328,excluded,1075,SAY,say,176,0.06020894,0.676136,0.000000,7.465909,16.750813
john_2328,excluded,1076,ANNIVERSARY,anniversary,368,0.10955032,0.442935,0.000000,13.584239,19.941449
john_2328,excluded,1077,SOUND,sound,223,0.06202083,0.766816,0.000000,7.690583,18.729805
john_2328,excluded,1078,SEASONED,seasoned,300,0.11322581,0.503333,0.000000,14.040000,19.735038
john_2328,excluded,1079,THIGH,thigh,227,0.11833878,0.563877,0.000000,14.674009,22.452679
john_2328,excluded,108,FIND,find,297,0.09726295,0.515152,0.000000,12.060606,19.046365
john_2328,excluded,1080,MONKEY,monkey,250,0.08919355,0.552000,0.000000,11.060000,17.073266
john_2328,excluded,1081,SIGN,sign,216,0.10315860,0.620370,0.000000,12.791667,21.159407
john_2328,excluded,1082,QUESTIONING,questioning,342,0.13577627,0.391813,0.000000,16.836257,20.928647
john_2328,excluded,1083,AVOIDED,avoided,261,0.12513904,0.613027,0.000000,15.517241,25.377395
john_2328,excluded,1084,BROKEN,broken,249,0.05826532,0.610442,0.000000,7.224900,14.063169
john_2328,excluded,1085,WHEN,when,214,0.13351673,0.551402,0.000000,16.556075,27.126807
john_2328,excluded,1086,PARKWAYS,parkways,300,0.08793011,0.473333,0.000000,10.903333,17.154027
john_2328,excluded,1087,ROCKS,rocks,230,0.05066620,0.652174,0.000000,6.282609,13.271190
john_2328,excluded,1088,LYDIA,lydia,243,0.06879729,0.683128,0.000000,8.530864,18.766326
john_2328,excluded,1089,A,a,124,0.03947711,0.830645,0.000000,4.895161,14.792009
john_2328,excluded,109,PARKWAYS,parkways,370,0.09228422,0.491892,0.000000,11.443243,16.788776
john_2328,excluded,1090,TEACHING,teaching,284,0.15842231,0.404930,0.000000,19.644366,23.586004
john_2328,excluded,1091,PRIORITIES,priorities,342,0.11436521,0.535088,0.000000,14.181287,22.528005
john_2328,excluded,1092,LENDER,lender,258,0.06814204,0.635659,0.000000,8.449612,16.488173
john_2328,excluded,1093,LEATHER,leather,256,0.19181578,0.437500,0.000000,23.785156,28.733364
john_2328,excluded,1094,SENDS,sends,209,0.13972064,0.569378,0.000000,17.325359,25.558253
john_2328,excluded,1095,ENGINE,engine,243,0.23088411,0.395062,0.000000,28.629630,30.067049
john_2328,excluded,1096,BLOODSHED,bloodshed,315,0.17788018,0.358730,0.000000,22.057143,25.677423
john_2328,excluded,1097,ACUTELY,acutely,270,0.18823178,0.455556,0.000000,23.340741,26.929307
john_2328,excluded,1098,EIGHT,eight,230,0.17587658,0.408696,0.000000,21.808696,23.655276
john_2328,excluded,1099,PERSONAL,personal,284,0.07397206,0.605634,0.000000,9.172535,16.933231
john_2328,excluded,11,WALLET,wallet,314,0.11041196,0.541401,0.000000,13.691083,20.197357
john_2328,excluded,110,GROCERY,grocery,352,0.09757606,0.500000,0.000000,12.099432,18.169930
john_2328,excluded,1100,EFFORTS,efforts,250,0.10429032,0.504000,0.000000,12.932000,20.228282
john_2328,excluded,1101,PROTESTERS,protesters,355,0.16313040,0.261972,0.000000,20.228169,23.374750
john_2328,excluded,1102,SISTER,sister,266,0.10735508,0.503759,0.000000,13.312030,19.343852
john_2328,excluded,1103,IRREGULAR,irregular,331,0.16643115,0.386707,0.000000,20.637462,25.875282
john_2328,excluded,1104,DESERVE,deserve,294,0.19593483,0.401361,0.000000,24.295918,25.665248
john_2328,excluded,1105,RID,rid,175,0.11912442,0.622857,0.000000,14.771429,26.910312
john_2328,excluded,1106,WEEKEND,weekend,280,0.20109447,0.389286,0.000000,24.935714,25.779618
john_2328,excluded,1107,WAR,war,184,0.08169705,0.608696,0.000000,10.130435,18.325984
john_2328,excluded,1108,STOCK,stock,218,0.13983427,0.321101,0.000000,17.339450,23.408702
john_2328,excluded,1109,CHECKS,checks,249,0.19345122,0.437751,0.000000,23.987952,27.380772
john_2328,excluded,111,GAMBLERS,gamblers,323,0.13617298,0.473684,0.000000,16.885449,20.852925
john_2328,excluded,1110,EXAM,exam,205,0.11947286,0.551220,0.000000,14.814634,24.507137
john_2328,excluded,1111,SONS,sons,192,0.01625504,0.848958,0.000000,2.015625,6.703914
john_2328,excluded,1112,ADULT,adult,208,0.14523883,0.495192,0.000000,18.009615,25.514700
john_2328,excluded,1113,OBEY,obey,207,0.09217703,0.632850,0.000000,11.429952,20.203402
john_2328,excluded,1114,PUBLISHED,published,301,0.17940199,0.358804,0.000000,22.245847,24.420037
john_2328,excluded,1115,FAVOURITE,favourite,327,0.14553122,0.480122,0.000000,18.045872,23.566700
john_2328,excluded,1116,SPORT,sport,226,0.13606195,0.522124,0.000000,16.871681,24.681088
john_2328,excluded,1117,LEARN,learn,258,0.06714179,0.631783,0.000000,8.325581,14.985607
john_2328,excluded,1118,PROBLEMS,problems,299,0.08390873,0.555184,0.000000,10.404682,16.166570
john_2328,excluded,1119,AMAZING,amazing,288,0.08226927,0.496528,0.000000,10.201389,15.098326
john_2328,excluded,112,PRISON,prison,291,0.10201197,0.436426,0.000000,12.649485,17.766551
