snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-24,P1_seed0,P1,0,,competition,0,0.00000000,122,1
2026-02-24,P1_seed0,P1,0,,competition,1,0.04349697,81,0
2026-02-24,P1_seed0,P1,0,,competition,10,0.03172306,87,0
2026-02-24,P1_seed0,P1,0,,competition,100,0.01771954,98,0
2026-02-24,P1_seed0,P1,0,,competition,101,0.04244084,83,0
2026-02-24,P1_seed0,P1,0,,competition,102,0.09845492,66,0
2026-02-24,P1_seed0,P1,0,,competition,103,0.15157442,54,0
2026-02-24,P1_seed0,P1,0,,competition,104,0.25675729,43,0
2026-02-24,P1_seed0,P1,0,,competition,105,0.40144729,26,0
2026-02-24,P1_seed0,P1,0,,competition,106,0.55118326,6,0
2026-02-24,P1_seed0,P1,0,,competition,107,0.55415607,5,0
2026-02-24,P1_seed0,P1,0,,competition,108,0.57132799,1,0
2026-02-24,P1_seed0,P1,0,,competition,109,0.47025230,18,0
2026-02-24,P1_seed0,P1,0,,competition,11,0.01955799,96,0
2026-02-24,P1_seed0,P1,0,,competition,110,0.29391747,38,0
2026-02-24,P1_seed0,P1,0,,competition,111,0.08378643,69,0
2026-02-24,P1_seed0,P1,0,,competition,112,0.01048308,103,0
2026-02-24,P1_seed0,P1,0,,competition,113,0.00289458,111,0
2026-02-24,P1_seed0,P1,0,,competition,114,0.00747115,106,0
2026-02-24,P1_seed0,P1,0,,competition,115,0.01103071,102,0
2026-02-24,P1_seed0,P1,0,,competition,116,0.00524154,108,0
2026-02-24,P1_seed0,P1,0,,competition,117,0.01764131,99,0
2026-02-24,P1_seed0,P1,0,,competition,118,0.06098181,74,0
2026-02-24,P1_seed0,P1,0,,competition,119,0.11648739,63,0
2026-02-24,P1_seed0,P1,0,,competition,12,0.14191277,58,0
2026-02-24,P1_seed0,P1,0,,competition,120,0.25660082,44,0
2026-02-24,P1_seed0,P1,0,,competition,121,0.41842363,24,0
2026-02-24,P1_seed0,P1,0,,competition,122,0.56170546,3,0
2026-02-24,P1_seed0,P1,0,,competition,123,0.55708977,4,0
2026-02-24,P1_seed0,P1,0,,competition,13,0.05941717,75,0
2026-02-24,P1_seed0,P1,0,,competition,14,0.09790730,67,0
2026-02-24,P1_seed0,P1,0,,competition,15,0.06215529,73,0
2026-02-24,P1_seed0,P1,0,,competition,16,0.05812634,76,0
2026-02-24,P1_seed0,P1,0,,competition,17,0.08061803,70,0
2026-02-24,P1_seed0,P1,0,,competition,18,0.09567768,68,0
2026-02-24,P1_seed0,P1,0,,competition,19,0.02906317,89,0
2026-02-24,P1_seed0,P1,0,,competition,2,0.00958341,104,0
2026-02-24,P1_seed0,P1,0,,competition,20,0.19671426,50,0
2026-02-24,P1_seed0,P1,0,,competition,21,0.12763544,61,0
2026-02-24,P1_seed0,P1,0,,competition,22,0.09919812,65,0
2026-02-24,P1_seed0,P1,0,,competition,23,0.04729122,79,0
2026-02-24,P1_seed0,P1,0,,competition,24,0.04674359,80,0
2026-02-24,P1_seed0,P1,0,,competition,25,0.10463524,64,0
2026-02-24,P1_seed0,P1,0,,competition,26,0.16295717,53,0
2026-02-24,P1_seed0,P1,0,,competition,27,0.16295717,52,0
2026-02-24,P1_seed0,P1,0,,competition,28,0.23453941,48,0
2026-02-24,P1_seed0,P1,0,,competition,29,0.13021709,60,0
2026-02-24,P1_seed0,P1,0,,competition,3,0.00676706,107,0
2026-02-24,P1_seed0,P1,0,,competition,30,0.04306669,82,0
2026-02-24,P1_seed0,P1,0,,competition,31,0.01803247,97,0
