snapshot_date,split_id,protocol,seed,subject,partition,n_samples,n_unique_labels,T_min,T_median,T_mean,T_max,total_frames,overall_mean_contact,all_zero_samples,all_one_samples,dead_channels,label_occurrence_hist_json,smartpalate_mapped_channels,smartpalate_missing_channels_n,smartpalate_duplicate_channels_n
2026-02-24,P1_seed0,P1,0,,competition,100,50,148,247.000,255.650000,445,25565,0.19731551,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed0,P1,0,,test,100,50,142,250.000,254.050000,423,25405,0.18774467,0,0,6,"{""2"": 50}",120,4,5
2026-02-24,P1_seed0,P1,0,,train,2128,1064,113,233.000,244.257519,501,519780,0.18706573,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_seed1,P1,1,,competition,100,50,138,231.000,244.730000,407,24473,0.18450122,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed1,P1,1,,test,100,50,154,263.000,266.710000,501,26671,0.18801531,0,0,4,"{""2"": 50}",120,4,5
2026-02-24,P1_seed1,P1,1,,train,2128,1064,113,234.000,244.175752,461,519606,0.18767526,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_seed2,P1,2,,competition,100,50,147,238.000,258.960000,501,25896,0.19213018,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed2,P1,2,,test,100,50,138,231.500,240.040000,400,24004,0.18539585,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed2,P1,2,,train,2128,1064,113,234.000,244.760338,461,520850,0.18742710,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_seed3,P1,3,,competition,100,50,155,246.000,256.070000,385,25607,0.18906089,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed3,P1,3,,test,100,50,151,215.000,237.970000,429,23797,0.18239999,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_seed3,P1,3,,train,2128,1064,113,234.500,244.993421,501,521346,0.18771640,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_subj1_seed0,P1,0,subj1,competition,100,50,148,247.000,255.650000,445,25565,0.19731551,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed0,P1,0,subj1,test,100,50,142,250.000,254.050000,423,25405,0.18774467,0,0,6,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed0,P1,0,subj1,train,2128,1064,113,233.000,244.257519,501,519780,0.18706573,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_subj1_seed1,P1,1,subj1,competition,100,50,138,231.000,244.730000,407,24473,0.18450122,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed1,P1,1,subj1,test,100,50,154,263.000,266.710000,501,26671,0.18801531,0,0,4,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed1,P1,1,subj1,train,2128,1064,113,234.000,244.175752,461,519606,0.18767526,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_subj1_seed2,P1,2,subj1,competition,100,50,147,238.000,258.960000,501,25896,0.19213018,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed2,P1,2,subj1,test,100,50,138,231.500,240.040000,400,24004,0.18539585,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed2,P1,2,subj1,train,2128,1064,113,234.000,244.760338,461,520850,0.18742710,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_subj1_seed3,P1,3,subj1,competition,100,50,155,246.000,256.070000,385,25607,0.18906089,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed3,P1,3,subj1,test,100,50,151,215.000,237.970000,429,23797,0.18239999,0,0,3,"{""2"": 50}",120,4,5
2026-02-24,P1_subj1_seed3,P1,3,subj1,train,2128,1064,113,234.500,244.993421,501,521346,0.18771640,0,0,3,"{""2"": 1064}",120,4,5
2026-02-24,P1_subj2_seed0,P1,0,subj2,competition,100,50,130,196.500,203.060000,344,20306,0.19799169,0,0,13,"{""2"": 50}",120,4,5
