protocol,method,n,cer_m,cer_s,rtf_m,rtf_s,variant_id
P1,within_topk,4,0.1952,0.0827,0.000657,0.000210,uni_gru_within_topk64
P1,within_fps2k,4,0.1912,0.0781,0.000619,0.000229,uni_gru_within_fps2k64
P1,transfer_topk,4,0.2053,0.0951,0.000586,0.000218,uni_gru_transfer_subj1_topk64
P1,random,4,0.1980,0.0793,0.000665,0.000282,uni_gru_random64_seed20260224
P2,within_topk,3,0.1544,0.0591,0.000110,0.000011,uni_gru_within_topk64
P2,within_fps2k,3,0.1539,0.0617,0.000110,0.000010,uni_gru_within_fps2k64
P2,transfer_topk,3,0.1584,0.0709,0.000106,0.000009,uni_gru_transfer_subj1_topk64
P2,random,3,0.1566,0.0669,0.000105,0.000011,uni_gru_random64_seed20260224
P3,within_topk,6,0.6473,0.1301,0.000108,0.000009,uni_gru_within_topk64
P3,within_fps2k,6,0.6564,0.1465,0.000107,0.000010,uni_gru_within_fps2k64
P3,transfer_topk,6,0.6569,0.1441,0.000109,0.000009,uni_gru_transfer_subj1_topk64
P3,random,6,0.6442,0.1328,0.000111,0.000010,uni_gru_random64_seed20260224
