protocol,split_id,split_npz,size_bytes,sha256
P2,subj1_seed0,raw_dataset/protocolS_split_seed0_subj1_ds1.npz,566358532,1b8bde44dab5024a260938bac20913d0ef1ac952939741a8d2db48b64f9a01ca
P2,subj2_seed0,raw_dataset/protocolS_split_seed0_subj2_ds1.npz,480883443,184667361478a935ea7d77aa1e9479d6f5783db0a6082fba3327cd01d23d203f
P2,subj3_seed0,raw_dataset/protocolS_split_seed0_subj3_ds1.npz,668586516,123dc636b5f7ea6b95fbf45d1b9b710917f074478a8fbc2b403c24618e7ee9b2
P2,subj1_seed1,raw_dataset/protocolS_split_seed1_subj1_ds1.npz,566358532,7c99abc859a5fa762f7eab4a6fa4570758e061845c354188e21071fb38c8f98c
P2,subj2_seed1,raw_dataset/protocolS_split_seed1_subj2_ds1.npz,480883443,c7a6fdfb7f3afc54e86f8353278d03797d695d0989e5ead13630e23f5b9fd67b
P2,subj3_seed1,raw_dataset/protocolS_split_seed1_subj3_ds1.npz,668119289,f68698e27a5fee8d676b273080bbbde39558cc6b8c1cdde583f5ceae9877e9a8
P2,subj1_seed2,raw_dataset/protocolS_split_seed2_subj1_ds1.npz,566358532,64fffa66215b322186b32bf48713347ef70120fa8e88743d67c41f2b3f6b3c1e
P2,subj2_seed2,raw_dataset/protocolS_split_seed2_subj2_ds1.npz,480883443,75e4fba0c9722143de4144b53fb2e53b7912b2d8700e04956b561aac8cb701ed
P2,subj3_seed2,raw_dataset/protocolS_split_seed2_subj3_ds1.npz,668427798,c96c8a06036625be4aa82ba6003e0d2812ec7b9ea9e370736249bdc8863b41e9
P2,subj1_seed3,raw_dataset/protocolS_split_seed3_subj1_ds1.npz,566358532,b298481d21ce74ea220b60a10783c30def60aa009dd1fbea9c619b1023ab2eab
P2,subj2_seed3,raw_dataset/protocolS_split_seed3_subj2_ds1.npz,480883443,7f5709641727a733ded756459aa965515bf73ccb034d266542b15a04d29b171a
P2,subj3_seed3,raw_dataset/protocolS_split_seed3_subj3_ds1.npz,668700603,fc12e922d2084b15b07a939083a311ecbf26ffd566599471358e17d860ae5f58
P2K,subj3_seed0_k1,raw_dataset/protocolSkshot_split_seed0_subj3_k1_ds1.npz,207861473,549118b5c2499594c297bb20a07d171c996a49edf1ecd4c7a551f86600112865
P2K,subj3_seed0_k2,raw_dataset/protocolSkshot_split_seed0_subj3_k2_ds1.npz,311185818,74fc47a26539eb48a6e814f3c76545ed7f9a4abf988846a4e9460db67552897a
P2K,subj3_seed1_k1,raw_dataset/protocolSkshot_split_seed1_subj3_k1_ds1.npz,208514219,a445ec1865e22aacc48c0b37018d6a5f275fca57868676ff31f379f091c57523
P2K,subj3_seed1_k2,raw_dataset/protocolSkshot_split_seed1_subj3_k2_ds1.npz,312151037,2419ebe9dfa2b1548a4aa1f5750ac0ccb806a067823816eaa1b765dae258e252
P2K,subj3_seed2_k1,raw_dataset/protocolSkshot_split_seed2_subj3_k1_ds1.npz,207901157,4a6768ac76e45c44d81392b3024d84884ead5c0dc5c4054a31ad09941e6376fb
P2K,subj3_seed2_k2,raw_dataset/protocolSkshot_split_seed2_subj3_k2_ds1.npz,311960573,7cacf03a042dfacdd67094a5e2fa361627bd4d170fd679a9f8bb1fbd9786a88b
P2K,subj3_seed3_k1,raw_dataset/protocolSkshot_split_seed3_subj3_k1_ds1.npz,206742497,63f885b264ad7bfdc77546010881621407b3a6bc400d0b31d6bb4b110d2333bd
P2K,subj3_seed3_k2,raw_dataset/protocolSkshot_split_seed3_subj3_k2_ds1.npz,311242362,8d64ffa15fa2d09b47e8870e6afd46c9f859f397e32b08d65da360ad9bd6964a
P3,subj1to2_seed0,raw_dataset/protocolSx_split_seed0_subj1to2_ds1.npz,523568401,fcd73a5a7f26302832773ea516e5c51cc52c8917dae21ab8903bbbe500b97618
P3,subj1to3_seed0,raw_dataset/protocolSx_split_seed0_subj1to3_ds1.npz,618222360,0d8cf6f5d9df3f7841d2f11e2b8290912a50151affadfc2ce10cbc281fb46164
P3,subj2to1_seed0,raw_dataset/protocolSx_split_seed0_subj2to1_ds1.npz,522806542,2edd72ad6496eedf90c819600e431afebde58bbc6db6636e44c48ccf40bc4d0d
P3,subj2to3_seed0,raw_dataset/protocolSx_split_seed0_subj2to3_ds1.npz,574401549,13e45275012dbf6af8a1c6bfa258a296a10af84d891cfa994c1377367ce9bccd
