target,variant,source_a,source_b,p3ms_mean_cer,single_source_mean_cer,delta_cer
1,rowcol,2,3,0.4758603526734926,0.6093827277669521,-0.13352237509345954
1,spatial2d,2,3,0.6019980091012515,0.6885699628034128,-0.08657195370216131
1,spatial2d_aug,2,3,0.6910907281001137,0.6819169607657034,0.009173767334410332
1,vector,2,3,0.47351393629124006,0.6377784376981375,-0.1642645014068974
2,rowcol,1,3,0.5041595563139932,0.5761278867547608,-0.07196833044076756
2,spatial2d,1,3,0.510594425483504,0.7033275764496081,-0.1927331509661041
2,spatial2d_aug,1,3,0.5114121160409556,0.7219817602101759,-0.2105696441692203
2,vector,1,3,0.5203356086461889,0.5945486233517864,-0.07421301470559749
3,rowcol,1,2,0.7902801478953356,0.8627524175199089,-0.07247226962457332
3,spatial2d,1,2,0.7361703640500569,0.8602815699658704,-0.12411120591581348
3,spatial2d_aug,1,2,0.7561149032992036,0.8636945392491467,-0.10757963594994313
3,vector,1,2,0.8380617178612059,0.840301478953356,-0.002239761092150183
