snapshot_date,split_id,protocol,seed,subject,partition,label,count
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,ANSWERED,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,BIRTHDAY,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,BLUES,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,CAMERA,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,CHEVY,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,CHILLS,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,COMMITTED,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,CONFIDENTIAL,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,DASHING,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,DETAILS,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,DUE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,FASTER,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,FIRE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,FREE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,GETTING,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,HARD,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,HAVING,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,HIS,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,INJUSTICE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,KNEE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,LETTERS,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,LOCATION,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,LOT,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,OCCUR,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,OLD,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,ORGANIZE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,OUR,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,OUT,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,PARTY,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,PRICE,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,PSYCHIATRIST,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,RICH,1
