snapshot_date,split_id,protocol,seed,subject,partition,idx,label,label_raw,T,mean_contact,frames_allzero_ratio,frames_allone_ratio,active_ch_mean,active_ch_std
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,0,SING,SING,160,0.15821573,0.431250,0.000000,19.618750,23.227374
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,1,SEAT,SEAT,166,0.17936261,0.397590,0.000000,22.240964,24.313014
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,10,COMMITTED,COMMITTED,276,0.21213184,0.315217,0.000000,26.304348,25.755148
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,11,FASTER,FASTER,235,0.14485244,0.446809,0.000000,17.961702,21.211664
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,12,FREE,FREE,190,0.18909168,0.400000,0.000000,23.447368,25.927122
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,13,ORGANIZE,ORGANIZE,344,0.19263410,0.418605,0.000000,23.886628,26.827538
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,14,SUN,SUN,172,0.14914666,0.488372,0.000000,18.494186,23.447739
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,15,SAMPLE,SAMPLE,239,0.13459981,0.410042,0.000000,16.690377,19.806500
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,16,FIRE,FIRE,212,0.14394400,0.452830,0.000000,17.849057,24.690840
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,17,SPORT,SPORT,223,0.17297121,0.439462,0.000000,21.448430,23.205763
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,18,OUT,OUT,167,0.17838517,0.628743,0.000000,22.119760,31.040403
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,19,STICKER,STICKER,274,0.22192136,0.375912,0.000000,27.518248,27.789643
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,2,BLUES,BLUES,236,0.17058502,0.330508,0.000000,21.152542,20.464780
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,20,OLD,OLD,177,0.09946237,0.632768,0.000000,12.333333,21.792464
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,21,GETTING,GETTING,244,0.30278292,0.274590,0.000000,37.545082,29.304821
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,22,THINKING,THINKING,280,0.23649194,0.310714,0.000000,29.325000,25.046915
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,23,BIRTHDAY,BIRTHDAY,343,0.20100160,0.413994,0.000000,24.924198,27.183644
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,24,WITHOUT,WITHOUT,299,0.22497033,0.387960,0.000000,27.896321,28.875919
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,25,YEARS,YEARS,246,0.15234068,0.373984,0.000000,18.890244,20.640953
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,26,WAR,WAR,180,0.11442652,0.422222,0.000000,14.188889,15.063860
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,27,DASHING,DASHING,267,0.19475655,0.340824,0.000000,24.149813,22.597936
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,28,INJUSTICE,INJUSTICE,328,0.27751279,0.314024,0.000000,34.411585,29.794389
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,29,OUR,OUR,164,0.10247836,0.658537,0.000000,12.707317,20.658364
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,3,HARD,HARD,201,0.17934521,0.427861,0.000000,22.238806,25.170714
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,30,STAGE,STAGE,201,0.28462526,0.268657,0.000000,35.293532,28.293037
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,31,PRICE,PRICE,207,0.18688640,0.458937,0.000000,23.173913,27.471526
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,32,TELL,TELL,163,0.09152978,0.687117,0.000000,11.349693,21.310596
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,33,DUE,DUE,158,0.22116170,0.462025,0.000000,27.424051,28.059001
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,34,PSYCHIATRIST,PSYCHIATRIST,422,0.21143556,0.336493,0.000000,26.218009,23.919887
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,35,LOCATION,LOCATION,266,0.14346350,0.349624,0.000000,17.789474,21.410437
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,36,CONFIDENTIAL,CONFIDENTIAL,437,0.20203735,0.265446,0.000000,25.052632,22.537626
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,37,VISIT,VISIT,218,0.15570435,0.472477,0.000000,19.307339,21.863254
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,38,HAVING,HAVING,235,0.20809883,0.336170,0.000000,25.804255,23.700166
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,39,PARTY,PARTY,205,0.18107789,0.409756,0.000000,22.453659,23.652444
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,4,LETTERS,LETTERS,295,0.20965008,0.335593,0.000000,25.996610,23.695025
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,40,OCCUR,OCCUR,197,0.15912068,0.522843,0.000000,19.730964,24.672344
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,41,CHILLS,CHILLS,279,0.15033530,0.358423,0.000000,18.641577,22.636773
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,42,STORE,STORE,215,0.17036759,0.460465,0.000000,21.125581,24.460467
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,43,STATEMENT,STATEMENT,277,0.29495167,0.223827,0.000000,36.574007,25.897865
