snapshot_date,split_id,protocol,seed,subject,partition,n_samples,n_unique_labels,T_min,T_median,T_mean,T_max,total_frames,overall_mean_contact,all_zero_samples,all_one_samples,dead_channels,label_occurrence_hist_json,smartpalate_mapped_channels,smartpalate_missing_channels_n,smartpalate_duplicate_channels_n
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,50,50,149,235.500,240.540000,437,12027,0.18841075,0,0,4,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,test,1164,1164,124,234.000,245.124570,501,285325,0.18753473,0,0,3,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,train,1114,1114,113,235.000,245.420108,448,273398,0.18753863,0,0,3,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj1_seed1_k1,P2K,1,subj1,competition,50,50,146,217.000,229.840000,394,11492,0.19016595,0,0,4,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj1_seed1_k1,P2K,1,subj1,test,1164,1164,124,235.000,245.570447,501,285844,0.18692643,0,0,3,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj1_seed1_k1,P2K,1,subj1,train,1114,1114,113,234.500,245.434470,440,273414,0.18810252,0,0,3,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj1_seed2_k1,P2K,2,subj1,competition,50,50,138,241.500,248.300000,445,12415,0.19131319,0,0,3,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj1_seed2_k1,P2K,2,subj1,test,1164,1164,113,234.000,245.030928,461,285216,0.18740010,0,0,3,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj1_seed2_k1,P2K,2,subj1,train,1114,1114,124,235.000,245.169659,501,273119,0.18754604,0,0,3,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj1_seed3_k1,P2K,3,subj1,competition,50,50,140,222.000,234.800000,405,11740,0.18923518,0,0,3,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj1_seed3_k1,P2K,3,subj1,test,1164,1164,113,235.000,245.815292,461,286129,0.18758810,0,0,3,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj1_seed3_k1,P2K,3,subj1,train,1114,1114,124,235.000,244.956014,501,272881,0.18744813,0,0,3,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj2_seed0_k1,P2K,0,subj2,competition,50,50,127,190.500,201.420000,385,10071,0.20559591,0,0,16,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj2_seed0_k1,P2K,0,subj2,test,1164,1164,100,195.000,207.857388,454,241946,0.20312117,0,0,11,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj2_seed0_k1,P2K,0,subj2,train,1114,1114,103,198.000,208.769300,413,232569,0.20248673,0,0,9,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj2_seed1_k1,P2K,1,subj2,competition,50,50,106,188.000,191.400000,318,9570,0.20464826,0,0,16,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj2_seed1_k1,P2K,1,subj2,test,1164,1164,105,196.000,208.816151,454,243062,0.20231732,0,0,12,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj2_seed1_k1,P2K,1,subj2,train,1114,1114,100,197.000,208.217235,413,231954,0.20337184,0,0,9,"{""1"": 1114}",120,4,5
2026-06-26,P2K_subj2_seed2_k1,P2K,2,subj2,competition,50,50,106,208.000,213.580000,404,10679,0.20704261,0,0,16,"{""1"": 50}",120,4,5
2026-06-26,P2K_subj2_seed2_k1,P2K,2,subj2,test,1164,1164,100,196.000,207.938144,454,242040,0.20240876,0,0,10,"{""1"": 1164}",120,4,5
2026-06-26,P2K_subj2_seed2_k1,P2K,2,subj2,train,1114,1114,106,196.000,208.139138,416,231867,0.20315536,0,0,11,"{""1"": 1114}",120,4,5
