snapshot_date,split_id,protocol,seed,subject,partition,label,count
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,ANSWERED,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,BIRTHDAY,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,BLUES,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,CAMERA,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,CHEVY,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,CHILLS,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,COMMITTED,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,CONFIDENTIAL,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,DASHING,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,DETAILS,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,DIPPED,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,DISTURBANCE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,DOLPHINS,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,EFFORT,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,END,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,ENLARGED,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,EVENTUALLY,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,EXPENSES,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FASTER,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FAVORITE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FIND,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FIVE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FORCE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,FREQUENTLY,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,GROWING,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,HARD,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,HE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,HEALTHY,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,HOLD,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,INTERACTIONS,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,LAND,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,NEEDED,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,OR,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,OVERDRAWN,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,PHOTOGRAPHS,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,PLEASE,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,POISONOUS,1
