snapshot_date,split_id,protocol,seed,subject,partition,n_samples,n_unique_labels,T_min,T_median,T_mean,T_max,total_frames,overall_mean_contact,all_zero_samples,all_one_samples,dead_channels,label_occurrence_hist_json,smartpalate_mapped_channels,smartpalate_missing_channels_n,smartpalate_duplicate_channels_n
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,50,50,151,274.500,273.580000,437,13679,0.20279791,0,0,4,"{""1"": 50}",120,4,5
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,train,1112,1112,113,233.000,244.106115,448,271446,0.18639355,0,0,3,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj1to4_seed1,P3,1,subj1to4,competition,50,50,148,245.000,243.000000,380,12150,0.19282822,0,0,3,"{""1"": 50}",120,4,5
2026-02-26,P3_subj1to4_seed1,P3,1,subj1to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj1to4_seed1,P3,1,subj1to4,train,1112,1112,113,234.000,244.959532,440,272395,0.18778369,0,0,3,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj1to4_seed2,P3,2,subj1to4,competition,50,50,161,222.000,239.120000,368,11956,0.18786424,0,0,3,"{""1"": 50}",120,4,5
2026-02-26,P3_subj1to4_seed2,P3,2,subj1to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj1to4_seed2,P3,2,subj1to4,train,1112,1112,124,235.000,245.894784,501,273435,0.18720050,0,0,3,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj1to4_seed3,P3,3,subj1to4,competition,50,50,146,225.500,241.940000,418,12097,0.19876229,0,0,4,"{""1"": 50}",120,4,5
2026-02-26,P3_subj1to4_seed3,P3,3,subj1to4,test,1162,1162,87,228.000,246.454389,600,286380,0.18554830,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj1to4_seed3,P3,3,subj1to4,train,1112,1112,124,234.000,245.444245,501,272934,0.18780279,0,0,3,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj2to4_seed0,P3,0,subj2to4,competition,50,50,106,223.000,232.600000,392,11630,0.21591823,0,0,14,"{""1"": 50}",120,4,5
2026-02-26,P3_subj2to4_seed0,P3,0,subj2to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj2to4_seed0,P3,0,subj2to4,train,1112,1112,106,194.000,207.288669,440,230505,0.20173049,0,0,11,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj2to4_seed1,P3,1,subj2to4,competition,50,50,129,208.500,212.340000,387,10617,0.21733024,0,0,12,"{""1"": 50}",120,4,5
2026-02-26,P3_subj2to4_seed1,P3,1,subj2to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj2to4_seed1,P3,1,subj2to4,train,1112,1112,100,195.000,208.313849,440,231645,0.20244555,0,0,11,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj2to4_seed2,P3,2,subj2to4,competition,50,50,118,195.000,205.780000,347,10289,0.20707599,0,0,16,"{""1"": 50}",120,4,5
2026-02-26,P3_subj2to4_seed2,P3,2,subj2to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj2to4_seed2,P3,2,subj2to4,train,1112,1112,103,198.000,208.665468,440,232036,0.20274517,0,0,10,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj2to4_seed3,P3,3,subj2to4,competition,50,50,122,187.500,202.500000,387,10125,0.21803664,0,0,12,"{""1"": 50}",120,4,5
2026-02-26,P3_subj2to4_seed3,P3,3,subj2to4,test,1162,1162,87,228.000,246.454389,600,286380,0.18554830,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3_subj2to4_seed3,P3,3,subj2to4,train,1112,1112,106,197.000,208.743705,416,232123,0.20209127,0,0,10,"{""1"": 1112}",120,4,5
2026-02-26,P3_subj3to4_seed0,P3,0,subj3to4,competition,50,50,186,274.000,286.920000,449,14346,0.11558634,0,0,0,"{""1"": 50}",120,4,5
2026-02-26,P3_subj3to4_seed0,P3,0,subj3to4,test,1159,1159,87,228.000,246.477135,600,285667,0.18551927,0,0,0,"{""1"": 1159}",120,4,5
