protocol,split_id,split_npz,size_bytes,sha256
P3,subj1to4_seed0,raw_dataset/protocolSx_split_seed0_subj1to4_ds1.npz,567261108,8b2d48c7e48beb7af1cad5a7eb4a54d71fcae740f242ad251d027a0fff19eac3
P3,subj2to4_seed0,raw_dataset/protocolSx_split_seed0_subj2to4_ds1.npz,524614842,b39bedcfe5b530d768ad632b6fe72af420e5c6dc4eab46892283cf3f9748fc97
P3,subj3to4_seed0,raw_dataset/protocolSx_split_seed0_subj3to4_ds1.npz,618912592,c36e1be6fa9e18ef4a94010079236a6f6a166a59b10cd3109fd465e9a443184c
P3,subj1to4_seed1,raw_dataset/protocolSx_split_seed1_subj1to4_ds1.npz,566685761,8dffde8809ded21e17eabb3f7e70e970dc87e549dd43348c0003817e074fba2a
P3,subj2to4_seed1,raw_dataset/protocolSx_split_seed1_subj2to4_ds1.npz,524740819,5e7a722d2e83eeb235da59a2530e6f311e7816b6e452b30018af6a82654dc42b
P3,subj3to4_seed1,raw_dataset/protocolSx_split_seed1_subj3to4_ds1.npz,618905663,4792552d5b3cd05a75a07a4ef49d2064e9395f791269836c001b6e871f70b5bf
P3,subj1to4_seed2,raw_dataset/protocolSx_split_seed2_subj1to4_ds1.npz,567524995,64d531b5030b76b2fb33efa44d2a9c1f629f4d282a666609de58dfdf249890c6
P3,subj2to4_seed2,raw_dataset/protocolSx_split_seed2_subj2to4_ds1.npz,524803322,65a37ae2d5921e029f7b14a100a093ed0940ebc9be588072e0929a44feb00922
P3,subj3to4_seed2,raw_dataset/protocolSx_split_seed2_subj3to4_ds1.npz,617856115,eb64708e0b93c2dda676ef83518ba47fd32ca8eaa353d8fdfc3b51bd7d835a02
P3,subj1to4_seed3,raw_dataset/protocolSx_split_seed3_subj1to4_ds1.npz,566966485,3d0fe96d70461364e7c15c5f7bd82fa9c97d81e88e226efc3581853124e5adf4
P3,subj2to4_seed3,raw_dataset/protocolSx_split_seed3_subj2to4_ds1.npz,524525558,b2f38674288a709eb396d84d51b72bf1ba0c17d61a61a85bc0f856017506e91e
P3,subj3to4_seed3,raw_dataset/protocolSx_split_seed3_subj3to4_ds1.npz,617115083,edbf56e4e58208081ac30099970296aca170084ddacb56cd0e8b59a292a80774
P3MS,subj12to4_seed0,raw_dataset/protocolSxms_split_seed0_subj12to4_ds1.npz,807402483,f912108e484921f6d2a39f4f5df41a4cf5c616c977f2c76a50286d0ce586f9de
P3MS,subj13to4_seed0,raw_dataset/protocolSxms_split_seed0_subj13to4_ds1.npz,901997676,dc41c7d5c3f2469499aa8c710e27edc1954f64cbb8cc9017c8ed5a8d5b0f50f8
P3MS,subj23to4_seed0,raw_dataset/protocolSxms_split_seed0_subj23to4_ds1.npz,858008232,959e7567480edf19d88c3a82e437a93f411fc3abaca992c58b1d7cbf92f2524c
P3MS,subj12to4_seed1,raw_dataset/protocolSxms_split_seed1_subj12to4_ds1.npz,806428324,1c8933e56a7983f41648e5a770f5dbbe294553ec907d7b1ef7274beead6eb01f
P3MS,subj13to4_seed1,raw_dataset/protocolSxms_split_seed1_subj13to4_ds1.npz,898927407,2e45e75612a50c8483826d4424e63b35d2b2e996272eb79860799e4ec43d7531
P3MS,subj23to4_seed1,raw_dataset/protocolSxms_split_seed1_subj23to4_ds1.npz,855382375,1fe6c0c1ca220bc8fe0a8bc3fcf14dde47234ae95894fa56a644ed9c77987b55
P3MS,subj12to4_seed2,raw_dataset/protocolSxms_split_seed2_subj12to4_ds1.npz,806852895,e747741f552f962144852fde3961cafd8e824888dce23aa2b32837529e6de44b
P3MS,subj13to4_seed2,raw_dataset/protocolSxms_split_seed2_subj13to4_ds1.npz,900658452,4f7ce672f3552e0dc4cca16fac1c423f6ff24218dd8d55117e6f1997b68733e9
P3MS,subj23to4_seed2,raw_dataset/protocolSxms_split_seed2_subj23to4_ds1.npz,857433846,15f16326089f08268639cd60defdd8a1c7e354a400068982fa7eaed6df5bd163
P3MS,subj12to4_seed3,raw_dataset/protocolSxms_split_seed3_subj12to4_ds1.npz,806350945,1a647f32adcbc75c0ce10d78999cd35cf24b13ce17a614a7aa82e0d2f7e80a8f
P3MS,subj13to4_seed3,raw_dataset/protocolSxms_split_seed3_subj13to4_ds1.npz,898854006,ab2e818067d66b3f08fbefe9be54a08ea4c2b95ee2b83655f5ff10a024290fe0
P3MS,subj23to4_seed3,raw_dataset/protocolSxms_split_seed3_subj23to4_ds1.npz,855826790,2000c6d8456f0bb8f236390d4ee151a585a655a3a4c7aab8aebd33b60914aaaf
