channel,mean_delta_cer,std_delta_cer,n,frac_positive,frac_negative,rank_mean_delta
0,0.000000,0.000000,4,0.000,0.000,48
1,0.010600,0.007108,4,1.000,0.000,1
2,-0.000819,0.000947,4,0.000,0.500,84
3,0.000000,0.000000,4,0.000,0.000,49
4,-0.001244,0.000832,4,0.000,0.750,103
5,0.002129,0.004831,4,0.500,0.500,7
6,-0.000733,0.002027,4,0.250,0.500,77
7,0.000037,0.001338,4,0.250,0.250,47
8,-0.000819,0.000947,4,0.000,0.500,85
9,0.002433,0.002209,4,0.750,0.000,5
10,-0.000819,0.000947,4,0.000,0.500,86
11,-0.003249,0.001931,4,0.000,1.000,123
12,-0.001091,0.002348,4,0.250,0.500,94
13,0.000463,0.001572,4,0.500,0.250,34
14,0.001241,0.001617,4,0.500,0.000,15
15,0.001255,0.002066,4,0.750,0.250,14
16,0.002037,0.000915,4,1.000,0.000,8
17,-0.000055,0.004859,4,0.500,0.500,59
18,-0.000902,0.002994,4,0.250,0.500,89
19,-0.000500,0.004284,4,0.500,0.500,73
20,-0.000307,0.001932,4,0.250,0.250,63
21,-0.001867,0.003932,4,0.250,0.750,109
22,0.001689,0.002975,4,0.500,0.250,12
23,0.002250,0.004512,4,0.500,0.250,6
24,0.003778,0.003820,4,0.750,0.000,3
25,0.000733,0.002027,4,0.500,0.250,27
26,0.000069,0.002665,4,0.250,0.250,46
27,-0.002005,0.001589,4,0.000,0.750,113
28,0.000603,0.003711,4,0.500,0.250,29
29,0.001232,0.002645,4,0.500,0.250,17
30,0.001749,0.003422,4,0.750,0.250,11
31,0.000497,0.002785,4,0.500,0.250,32
32,0.001790,0.003475,4,0.750,0.250,10
33,-0.001129,0.001985,4,0.250,0.750,98
34,-0.001106,0.002608,4,0.250,0.500,95
35,-0.000804,0.002680,4,0.250,0.250,82
36,0.000511,0.005404,4,0.250,0.750,30
37,-0.000856,0.001713,4,0.000,0.250,88
38,0.000853,0.000985,4,0.500,0.000,22
39,-0.000020,0.001865,4,0.500,0.500,58
40,0.000118,0.002192,4,0.500,0.250,45
41,-0.001143,0.004885,4,0.250,0.500,99
42,0.000350,0.005122,4,0.500,0.500,41
43,0.002608,0.006578,4,0.750,0.250,4
44,0.000425,0.000851,4,0.250,0.000,38
45,0.000000,0.000000,4,0.000,0.000,50
46,-0.001069,0.002597,4,0.250,0.500,92
47,-0.002786,0.002702,4,0.000,0.750,120
48,0.000000,0.000000,4,0.000,0.000,51
