run_id,protocol,split_id,dataset_pickle,n_components,downsample_factor,electrode_regions,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,subset_id,subset_method,subset_K,subset_random_seed,note
P1_seed0_raw_ds1_sub-topk_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k16,topk,16,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k16,fps2k,16,,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k16_r0_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k16_r0.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k16_r0,random,16,1160,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k16_r1_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k16_r1.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k16_r1,random,16,1161,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k16_r2_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k16_r2.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k16_r2,random,16,1162,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k16_r3_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k16_r3.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k16_r3,random,16,1163,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k16_r4_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k16_r4.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k16_r4,random,16,1164,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k24_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k24.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k24,topk,24,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k24_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k24.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k24,fps2k,24,,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k24_r0_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k24_r0.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k24_r0,random,24,1240,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k24_r1_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k24_r1.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k24_r1,random,24,1241,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k24_r2_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k24_r2.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k24_r2,random,24,1242,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k24_r3_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k24_r3.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k24_r3,random,24,1243,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k24_r4_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k24_r4.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k24_r4,random,24,1244,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k32,topk,32,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k32,fps2k,32,,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k32_r0_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k32_r0.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k32_r0,random,32,1320,ed:kcurve
P1_seed0_raw_ds1_sub-rand_k32_r1_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_rand_k32_r1.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,rand_k32_r1,random,32,1321,ed:kcurve
