run_id,protocol,split_id,dataset_pickle,n_components,downsample_factor,electrode_regions,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,subset_id,subset_method,subset_K,subset_random_seed,note
P1_seed0_raw_ds1_sub-topk_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k16,topk,16,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k16,fps2k,16,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k24_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k24.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k24,topk,24,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k24_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k24.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k24,fps2k,24,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k32,topk,32,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k32,fps2k,32,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k40_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k40.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k40,topk,40,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k40_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k40.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k40,fps2k,40,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k48_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k48.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k48,topk,48,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k48_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k48.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k48,fps2k,48,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k56_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k56.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k56,topk,56,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k56_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k56.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k56,fps2k,56,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k64.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k64,topk,64,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k64.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k64,fps2k,64,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k72_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k72.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k72,topk,72,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k72_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k72.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k72,fps2k,72,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k80_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k80.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k80,topk,80,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k80_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k80.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k80,fps2k,80,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k88_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k88.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k88,topk,88,,ed:kcurve
