run_id,drop_rate,n_reps,baseline_cer,masked_cer_mean,masked_cer_std,masked_wer_mean,masked_wer_std,delta_cer_mean,delta_cer_std,delta_cer_n
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.000,10,0.115625,0.115625,0.000000,0.520000,0.000000,0.000000,0.000000,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.100,10,0.115625,0.125625,0.009235,0.553000,0.034010,0.010000,0.009235,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.200,10,0.115625,0.141563,0.016976,0.593000,0.054375,0.025937,0.016976,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.300,10,0.115625,0.164062,0.024026,0.648000,0.058841,0.048437,0.024026,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.000,10,0.123529,0.123529,0.000000,0.580000,0.000000,0.000000,0.000000,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.100,10,0.123529,0.136765,0.010784,0.582000,0.018738,0.013235,0.010784,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.200,10,0.123529,0.156912,0.013918,0.624000,0.035340,0.033382,0.013918,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.300,10,0.123529,0.177059,0.020023,0.655000,0.038079,0.053529,0.020023,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.000,10,0.151361,0.151361,0.000000,0.570000,0.000000,0.000000,0.000000,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.100,10,0.151361,0.153231,0.008799,0.564000,0.027968,0.001871,0.008799,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.200,10,0.151361,0.166837,0.012814,0.614000,0.037771,0.015476,0.012814,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.300,10,0.151361,0.189286,0.018905,0.651000,0.044833,0.037925,0.018905,10
P1_seed3_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.000,10,0.125000,0.125000,0.000000,0.550000,0.000000,0.000000,0.000000,10
P1_seed3_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.100,10,0.125000,0.134247,0.007666,0.564000,0.018974,0.009247,0.007666,10
P1_seed3_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.200,10,0.125000,0.143493,0.019504,0.564000,0.033066,0.018493,0.019504,10
P1_seed3_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,0.300,10,0.125000,0.175000,0.034923,0.632000,0.054324,0.050000,0.034923,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.000,10,0.109375,0.109375,0.000000,0.500000,0.000000,0.000000,0.000000,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.100,10,0.109375,0.132344,0.013503,0.582000,0.053500,0.022969,0.013503,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.200,10,0.109375,0.167031,0.032371,0.673000,0.075726,0.057656,0.032371,10
P1_seed0_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.300,10,0.109375,0.212656,0.028787,0.741000,0.061364,0.103281,0.028787,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.000,10,0.136765,0.136765,0.000000,0.550000,0.000000,0.000000,0.000000,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.100,10,0.136765,0.163824,0.029609,0.606000,0.044020,0.027059,0.029609,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.200,10,0.136765,0.212794,0.054410,0.693000,0.080973,0.076029,0.054410,10
P1_seed1_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.300,10,0.136765,0.271471,0.060444,0.774000,0.073817,0.134706,0.060444,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.000,10,0.154762,0.154762,0.000000,0.550000,0.000000,0.000000,0.000000,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.100,10,0.154762,0.159524,0.027931,0.573000,0.053759,0.004762,0.027931,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.200,10,0.154762,0.205102,0.038207,0.681000,0.077524,0.050340,0.038207,10
P1_seed2_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.300,10,0.154762,0.264116,0.047464,0.777000,0.073794,0.109354,0.047464,10
P1_seed3_raw_ds1_sub-topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec0_noiseDefault_trainseed0_ed20260217,0.000,10,0.114726,0.114726,0.000000,0.480000,0.000000,0.000000,0.000000,10
