run_id,drop_rate,n_reps,baseline_cer,masked_cer_mean,masked_cer_std,masked_wer_mean,masked_wer_std,delta_cer_mean,delta_cer_std,delta_cer_n
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.000,10,0.221875,0.221875,0.000000,0.750000,0.000000,0.000000,0.000000,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.100,10,0.221875,0.245781,0.030432,0.801000,0.038137,0.023906,0.030432,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.200,10,0.221875,0.315625,0.059516,0.880000,0.047842,0.093750,0.059516,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.300,10,0.221875,0.391719,0.060412,0.928000,0.035839,0.169844,0.060412,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.000,10,0.258824,0.258824,0.000000,0.830000,0.000000,0.000000,0.000000,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.100,10,0.258824,0.287059,0.031086,0.860000,0.026247,0.028235,0.031086,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.200,10,0.258824,0.316912,0.044558,0.885000,0.035668,0.058088,0.044558,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.300,10,0.258824,0.389559,0.055656,0.934000,0.033731,0.130735,0.055656,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.000,10,0.306122,0.306122,0.000000,0.810000,0.000000,0.000000,0.000000,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.100,10,0.306122,0.327891,0.011804,0.824000,0.010750,0.021769,0.011804,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.200,10,0.306122,0.394898,0.068012,0.875000,0.037491,0.088776,0.068012,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.300,10,0.306122,0.450510,0.067655,0.913000,0.045717,0.144388,0.067655,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.000,10,0.256849,0.256849,0.000000,0.800000,0.000000,0.000000,0.000000,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.100,10,0.256849,0.280993,0.031016,0.819000,0.040947,0.024144,0.031016,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.200,10,0.256849,0.329623,0.058299,0.846000,0.047656,0.072774,0.058299,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug0_noiseDefault_trainseed0_ed20260217,0.300,10,0.256849,0.388014,0.067565,0.887000,0.047387,0.131164,0.067565,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.000,10,0.228125,0.228125,0.000000,0.730000,0.000000,0.000000,0.000000,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.100,10,0.228125,0.238906,0.021843,0.734000,0.054406,0.010781,0.021843,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.200,10,0.228125,0.295781,0.048748,0.823000,0.060562,0.067656,0.048748,10
P1_seed0_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.300,10,0.228125,0.365156,0.048903,0.878000,0.054934,0.137031,0.048903,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.000,10,0.260294,0.260294,0.000000,0.780000,0.000000,0.000000,0.000000,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.100,10,0.260294,0.281176,0.026323,0.820000,0.039441,0.020882,0.026323,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.200,10,0.260294,0.312206,0.041676,0.864000,0.044771,0.051912,0.041676,10
P1_seed1_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.300,10,0.260294,0.377500,0.049357,0.918000,0.042111,0.117206,0.049357,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.000,10,0.282313,0.282313,0.000000,0.720000,0.000000,0.000000,0.000000,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.100,10,0.282313,0.298129,0.005728,0.738000,0.016865,0.015816,0.005728,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.200,10,0.282313,0.355952,0.056650,0.792000,0.055136,0.073639,0.056650,10
P1_seed2_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.300,10,0.282313,0.391497,0.048028,0.852000,0.061968,0.109184,0.048028,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.000,10,0.244863,0.244863,0.000000,0.750000,0.000000,0.000000,0.000000,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.100,10,0.244863,0.270719,0.026741,0.779000,0.045080,0.025856,0.026741,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.200,10,0.244863,0.315582,0.047755,0.818000,0.045412,0.070719,0.047755,10
P1_seed3_raw_ds1_sub-topk_k64_spatial2d_uni_gru_u512_l5_s4_k32_proj64_spec1_spaug1_noiseDefault_trainseed0_ed20260217,0.300,10,0.244863,0.370890,0.059219,0.882000,0.050288,0.126027,0.059219,10
